Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,12.1,✓ OK,52,53,53,,,,,53,52,1
УЗЕ Бар БЕСС,12.2,✓ OK,52,52,52,,,,,52,52,0
УЗЕ Бар БЕСС,13.1,✓ OK,52,53,52,,,,,53,52,1
УЗЕ Бар БЕСС,13.2,✓ OK,52,52,52,,,,,52,52,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"66,5","72,7","68,9","66,1","67,6",,,"72,7","66,1","6,6"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,69,"74,9","61,8","66,7","70,1",,,"74,9","61,8","13,1"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"68,6",67,"68,1","69,7","68,6",,,"69,7",67,"2,7"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"69,2","67,7","69,8","67,2",68,,,"69,8","67,2","2,6"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,5","66,5","55,5","64,6","54,7",,,"88,5","54,7","33,8"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"72,8","59,6","69,3",70,"70,1",,,"72,8","59,6","13,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,69,"66,5","67,8","68,6","65,3",,,69,"65,3","3,7"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"66,9",65,"69,1","68,5","68,4",,,"69,1",65,"4,1"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"68,1","66,6","69,5","67,2","68,4",,,"69,5","66,6","2,9"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"65,9","67,1","65,2","65,9","67,2",,,"67,2","65,2",2
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"68,7","66,8","66,4","70,9","66,1",,,"70,9","66,1","4,8"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"67,9","67,7","66,5","65,8","68,2",,,"68,2","65,8","2,4"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,88,88,87,85,87,,,88,85,3
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"74,7","59,6","67,7","71,5","71,5",,,"74,7","59,6","15,1"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"66,9","79,3","66,4","57,1",67,,,"79,3","57,1","22,2"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"69,6","76,1","67,7","61,2","69,5",,,"76,1","61,2","14,9"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"69,3","69,1","69,8",71,"63,4",,,71,"63,4","7,6"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"79,7","77,5",79,"77,3","80,9",,,"80,9","77,3","3,6"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"79,4","78,5","77,1",82,"74,7",,,82,"74,7","7,3"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"80,9","78,9","72,5",77,"79,7",,,"80,9","72,5","8,4"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"73,7","79,3",82,"82,9","78,2",,,"82,9","73,7","9,2"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"81,8","78,9","77,3","78,2","76,5",,,"81,8","76,5","5,3"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"81,7","75,2","83,9","76,7","78,2",,,"83,9","75,2","8,7"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,50,49,50,51,50,,,51,49,2
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,72,72,72,,,,,72,72,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,72,73,73,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"73,9","77,1","75,4","83,3","72,3",,,"83,3","72,3",11
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"72,5","73,2",73,"82,8","83,2",,,"83,2","72,5","10,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,73,73,73,,,,,73,73,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,73,73,73,,,,,73,73,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"74,7","77,1","71,8",77,"74,4",,,"77,1","71,8","5,3"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,75,"78,9","83,3","70,1",72,,,"83,3","70,1","13,2"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,77,"82,5","69,4","72,7","75,7",,,"82,5","69,4","13,1"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"76,2","67,3","73,6","79,6","82,9",,,"82,9","67,3","15,6"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"79,8","81,4","51,5",80,78,,,"81,4","51,5","29,9"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"76,4","70,3","76,6","78,7","74,8",,,"78,7","70,3","8,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"78,8","64,3","77,7","71,9","80,7",,,"80,7","64,3","16,4"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"74,9","81,5","79,2","64,8",78,,,"81,5","64,8","16,7"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,39,39,41,42,41,,,42,39,3
