Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,6","88,7","77,6","86,6","76,8",,,"88,7","76,8","11,9"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"85,3","72,1",82,"82,6","82,7",,,"85,3","72,1","13,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"86,4","83,6","85,3","85,8","82,6",,,"86,4","82,6","3,8"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"84,1",82,"86,6","85,7","85,7",,,"86,6",82,"4,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"85,1","83,7","86,6","83,9","85,1",,,"86,6","83,7","2,9"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"83,2","84,3","82,7","83,3","84,8",,,"84,8","82,7","2,1"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"85,5","83,4","82,9","87,7","82,7",,,"87,7","82,7",5
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"84,6","84,3","83,1","82,4","84,8",,,"84,8","82,4","2,4"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,35,34,33,32,33,,,35,32,3
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"68,4","53,3","61,4","65,6","65,2",,,"68,4","53,3","15,1"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"60,6","73,5","59,7","50,5","60,7",,,"73,5","50,5",23
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"62,9","69,8","61,4","54,6","62,8",,,"69,8","54,6","15,2"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,63,"62,4","62,8","64,4","56,7",,,"64,4","56,7","7,7"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"78,9","77,1","78,2","76,9","80,1",,,"80,1","76,9","3,2"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"79,4","78,5","77,2","82,4","74,4",,,"82,4","74,4",8
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"80,5","78,6",72,"77,1","79,8",,,"80,5",72,"8,5"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"72,5","78,1","81,4","81,9","76,7",,,"81,9","72,5","9,4"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"81,1","78,5","76,6","77,5","76,1",,,"81,1","76,1",5
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,81,74,"83,3","75,5","77,9",,,"83,3",74,"9,3"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,91,91,91,92,92,,,92,91,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,88,88,88,,,,,88,88,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,88,88,87,,,,,88,87,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"75,3","76,6","76,8","84,6","73,7",,,"84,6","73,7","10,9"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,74,"74,4","74,6","84,3","84,7",,,"84,7",74,"10,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,88,87,87,,,,,88,87,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,88,86,88,,,,,88,86,2
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"81,4","83,9","78,5","83,8","81,1",,,"83,9","78,5","5,4"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"81,4","84,9","89,4","75,6","77,9",,,"89,4","75,6","13,8"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"83,6","89,1",76,"79,3","82,3",,,"89,1",76,"13,1"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"82,3","73,3","79,6","85,7","89,4",,,"89,4","73,3","16,1"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,87,"88,7","57,9","87,3","85,3",,,"88,7","57,9","30,8"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"82,9","76,3","83,1","85,2","80,8",,,"85,2","76,3","8,9"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"85,7","71,1",85,"78,8","88,1",,,"88,1","71,1",17
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"81,1",88,"85,7","70,9","84,1",,,88,"70,9","17,1"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,92,92,93,93,93,,,93,92,1
